category,name,date,text
debate,Savannah Guthrie,2020,"Do you feel, it feels sometimes you’re hesitant to do so, like you wait a beat."
debate,Donald Trump,2020,"Hesitant? Here we go again. Every time… In fact, my people came, “I’m sure they’ll ask you the white supremacy question.” I denounce white supremacy."
debate,Savannah Guthrie,2020,Okay.
debate,Donald Trump,2020,"And frankly, you want to know something? I denounce Antifa, and I denounce these people on the left that are burning down our cities, that are run by Democrats who don’t know what they’re doing-"
debate,Savannah Guthrie,2020,"All right, while we’re denouncing, let me ask you about QAnon. It is this theory that Democrats are a satanic pedophile ring and that you are the savior, of that. Now can you just, once and for all, state that that is completely not true, and-"
debate,Donald Trump,2020,"So, I know [crosstalk 00:18:35]-"
debate,Savannah Guthrie,2020,… disavow QAnon-
debate,Donald Trump,2020,Yeah.
debate,Savannah Guthrie,2020,… in its entirety?
debate,Donald Trump,2020,I know nothing about QAnon.
debate,Savannah Guthrie,2020,I just told you.
debate,Donald Trump,2020,"I know very little. You told me, but what you tell me, doesn’t necessarily make it fact. I hate to say that. I know nothing about it. I do know they are very much against pedophilia. They fight it very hard. But I know nothing about it. If you’d like me to-"
debate,Savannah Guthrie,2020,They believe that it is a Satanic cult run by the deep state.
debate,Donald Trump,2020,"… study the subject. I’ll tell you what I do know about. I know about Antifa, and I know about the radical left, and I know how violent they are and how vicious they are. And I know how they are burning down cities run by Democrats, not run by Republicans."
debate,Savannah Guthrie,2020,"Republican Senator Ben Sasse said, quote, “QAnon is nuts and real leaders call conspiracy theories, conspiracy theories.”"
debate,Donald Trump,2020,He may be right.
debate,Savannah Guthrie,2020,"Why not just say, it’s crazy and not true?"
debate,Donald Trump,2020,Can I be honest? He may be right. I just don’t know about QAnon.
debate,Savannah Guthrie,2020,You do know.
debate,Donald Trump,2020,"I don’t know. No, I don’t know. I don’t know. You tell me all about it."
debate,Savannah Guthrie,2020,Let me ask you another thing.
debate,Donald Trump,2020,Let’s waste the whole show. You start off with white supremacy. I denounce it. You start off with something else. Let’s go. Keep asking me these questions. But let me just-
debate,Savannah Guthrie,2020,"Okay, I do have one more in this vein."
debate,Donald Trump,2020,"… let me just tell you. What I do hear about it, is they are very strongly against pedophilia. And I agree with that. I mean, I do agree with that-"
debate,Savannah Guthrie,2020,Okay.
debate,Donald Trump,2020,… and I agree with it very strongly.
debate,Savannah Guthrie,2020,But there’s not a Satanic pedophile cult being run by-
debate,Donald Trump,2020,I have no idea. I know nothing about them.
debate,Savannah Guthrie,2020,You don’t know that? Okay.
debate,Donald Trump,2020,"No, I don’t know that."
debate,Savannah Guthrie,2020,"You, just this week-"
debate,Donald Trump,2020,"And neither do you, know that."
debate,Savannah Guthrie,2020,"Okay. Just this week, you retweeted-"
debate,Donald Trump,2020,Why aren’t you asking me about Antifa? Why aren’t you asking me about the radical left?
debate,Savannah Guthrie,2020,"Because you just, because you’re volunteering it."
debate,Donald Trump,2020,"Why aren’t you asking Joe Biden questions about, why doesn’t he condemn Antifa? Why does he say it doesn’t exist?"
debate,Savannah Guthrie,2020,"Because you’re here, before me."
debate,Donald Trump,2020,"Antifa, no, excuse me. That’s so cute. Antifa exists. They’re vicious, they’re violent. They kill people, and they’re burning down our cities. And they happen to be radical left."
debate,Savannah Guthrie,2020,"Just this week, you retweeted to your 87 million followers, a conspiracy theory that Joe Biden orchestrated to have SEAL Team Six, the Navy SEAL Team Six, killed to cover up the fake death of Bin Laden. Now, why would you send a lie like that to your followers?"
debate,Donald Trump,2020,"I know nothing about it, can I [crosstalk 00:20:36]-"
debate,Savannah Guthrie,2020,You retweeted it.
debate,Donald Trump,2020,That was a retweet. That was an opinion of somebody-
debate,Savannah Guthrie,2020,But-
debate,Donald Trump,2020,…. and that was a retweet. I’ll put it out there. People can decide for themselves. I don’t take a position.
debate,Savannah Guthrie,2020,"I don’t get that, you’re the President. You’re not like, someone’s crazy uncle who can just-"
debate,Donald Trump,2020,"No, no. No, no."
debate,Savannah Guthrie,2020,"… retweet, whatever."
debate,Donald Trump,2020,"That was a retweet. And I do a lot of retweets. And frankly, because the media is so fake, and so corrupt, if I didn’t have social media… I don’t call it Twitter, I call it social media. I wouldn’t be able to get the word out. And the word is-"
debate,Savannah Guthrie,2020,"Well, the word is false."
debate,Donald Trump,2020,"… and you know what the word is? The word is very simple. We’re building our country, stronger and better than it’s ever been before."
debate,Savannah Guthrie,2020,Let’s stop-
debate,Donald Trump,2020,And that’s what’s happening. And everybody knows it.
debate,Savannah Guthrie,2020,"Okay, we’ve got a bunch of questions for you."
